type,year,country,host,start,end,countries,events,sports,participants_m,participants_f,participants,duration_days
summer,1960,Italy,Rome,1960-09-18,1960-09-25,23.0,113.0,8,,,0.0,7
summer,1964,Japan,Tokyo,1964-11-08,1964-11-12,21.0,143.0,9,195.0,71.0,266.0,4
summer,1968,Israel,Tel Aviv,1968-11-05,1968-11-14,29.0,188.0,10,578.0,196.0,774.0,9
summer,1972,Germany,Heidelberg,1972-08-02,1972-08-11,43.0,188.0,10,654.0,268.0,922.0,9
summer,1976,Canada,Toronto,1976-08-04,1976-08-12,40.0,448.0,13,1000.0,271.0,1271.0,8
summer,1980,Netherlands,Arnhem,1980-06-22,1980-07-01,43.0,590.0,13,1225.0,428.0,1653.0,9
summer,1984,UK,Stoke Mandeville New York,1984-06-17,1984-08-01,58.0,975.0,18,1569.0,536.0,2105.0,45
summer,1988,Korea,Seoul,1988-10-16,1988-10-25,60.0,733.0,18,2370.0,671.0,3041.0,9
summer,1992,Spain,Barcelona,1992-09-05,1992-09-16,83.0,489.0,16,2300.0,699.0,2999.0,11
summer,1996,USA,Atlanta,1996-08-16,1996-08-25,104.0,519.0,19,2462.0,790.0,3252.0,9
summer,2000,Australia,Sydney,2000-10-23,2000-10-31,123.0,550.0,19,2883.0,988.0,3871.0,8
summer,2004,Greece,Athens,2004-09-23,2004-10-04,135.0,519.0,19,2600.0,1149.0,3749.0,11
summer,2008,China,Beijing,2008-09-06,2008-09-17,146.0,472.0,20,2585.0,1366.0,3951.0,11
summer,2012,UK,London,2012-08-29,2012-09-09,164.0,530.0,20,2741.0,1502.0,4243.0,11
summer,2016,Brazil,Rio,2016-09-07,2016-09-18,160.0,528.0,22,2657.0,1670.0,4327.0,11
summer,2020,Japan,Tokyo,2021-08-24,2021-09-05,162.0,539.0,22,2547.0,1846.0,4393.0,12
summer,2024,France,Paris,2024-08-28,2024-09-08,169.0,549.0,22,2551.0,2016.0,4567.0,11
summer,2028,USA,Los Angeles,2028-08-15,2028-08-27,,,22,,,0.0,12
winter,1976,Sweden,Ornskoldsvik,1976-02-21,1976-02-28,16.0,53.0,2,161.0,37.0,198.0,7
winter,1980,Norway,Geilo,1980-02-02,1980-02-08,18.0,64.0,2,229.0,70.0,299.0,6
winter,1984,Austria,Innsbruck,1984-01-15,1984-01-21,21.0,107.0,3,325.0,94.0,419.0,6
winter,1988,Austria,Innsbruck,1988-01-18,1988-01-25,22.0,97.0,4,300.0,77.0,377.0,7
winter,1992,France,Tignes-Albertville,1992-03-25,1992-04-02,24.0,79.0,3,288.0,77.0,365.0,8
winter,1994,Norway,Lillehammer,1994-03-10,1994-03-19,31.0,133.0,5,39.0,90.0,129.0,9
winter,1998,Japan,Nagano,1998-03-07,1998-03-16,31.0,122.0,5,440.0,122.0,562.0,9
winter,2002,USA,Salt Lake City,2002-03-09,2002-03-18,36.0,92.0,4,328.0,87.0,415.0,9
winter,2006,Italy,Torino,2006-03-12,2006-03-21,38.0,58.0,5,375.0,99.0,474.0,9
winter,2010,Canada,Vancouver,2010-03-12,2010-03-21,44.0,64.0,5,381.0,121.0,502.0,9
winter,2014,Russia,Sochi,2014-03-07,2014-03-16,45.0,72.0,6,411.0,129.0,540.0,9
winter,2018,Korea,PyeongChang,2018-03-09,2018-03-18,49.0,80.0,6,430.0,133.0,563.0,9
winter,2022,China,Beijing,2022-03-04,2022-03-13,46.0,78.0,6,422.0,136.0,558.0,9
winter,2026,Italy,Milano Cortina,2026-03-06,2026-03-15,,79.0,6,,,0.0,9
